Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,BEPC,,ABIDJAN 2,Inscrits,Garçon,9120
2016,BEPC,,ABIDJAN 3,Inscrits,Garçon,15596
2016,BEPC,,ABIDJAN 4,Inscrits,Garçon,13195
2016,BEPC,,ABOISSO,Inscrits,Garçon,2692
2016,BEPC,,ADZOPE,Inscrits,Garçon,4731
2016,BEPC,,AGBOVILLE,Inscrits,Garçon,3211
2016,BEPC,,BONDOUKOU,Inscrits,Garçon,5493
2016,BEPC,,BONGOUANOU,Inscrits,Garçon,3766
2016,BEPC,,BOUAFLE,Inscrits,Garçon,5208
2016,BEPC,,BOUAKE  1,Inscrits,Garçon,3279
2016,BEPC,,BOUAKE  2,Inscrits,Garçon,6236
2016,BEPC,,BOUNA,Inscrits,Garçon,927
2016,BEPC,,BOUNDIALI,Inscrits,Garçon,1185
2016,BEPC,,DABOU,Inscrits,Garçon,3237
2016,BEPC,,DALOA,Inscrits,Garçon,10556
2016,BEPC,,DANANE,Inscrits,Garçon,1827
2016,BEPC,,DAOUKRO,Inscrits,Garçon,3516
2016,BEPC,,DIMBOKRO,Inscrits,Garçon,2471
2016,BEPC,,DIVO,Inscrits,Garçon,8190
2016,BEPC,,DUEKOUE,Inscrits,Garçon,4285
2016,BEPC,,FERKESSEDOUGOU,Inscrits,Garçon,1684
2016,BEPC,,GAGNOA,Inscrits,Garçon,7250
2016,BEPC,,GRAND­BASSAM,Inscrits,Garçon,2078
2016,BEPC,,GUIGLO,Inscrits,Garçon,2592
2016,BEPC,,ISSIA,Inscrits,Garçon,3336
2016,BEPC,,KATIOLA,Inscrits,Garçon,1816
2016,BEPC,,KORHOGO,Inscrits,Garçon,3829
2016,BEPC,,MAN,Inscrits,Garçon,3334
2016,BEPC,,MANKONO,Inscrits,Garçon,1113
2016,BEPC,,MINIGNAN,Inscrits,Garçon,66
2016,BEPC,,ODIENNE,Inscrits,Garçon,1391
2016,BEPC,,SAN­PEDRO,Inscrits,Garçon,4976
2016,BEPC,,SASSANDRA,Inscrits,Garçon,1444
2016,BEPC,,SEGUELA,Inscrits,Garçon,1334
2016,BEPC,,SINFRA,Inscrits,Garçon,2748
2016,BEPC,,SOUBRE,Inscrits,Garçon,7019
2016,BEPC,,TIASSALE,Inscrits,Garçon,3327
2016,BEPC,,TOUBA,Inscrits,Garçon,448
2016,BEPC,,YAMOUSSOUKRO,Inscrits,Garçon,7171
2016,BEPC,,ABENGOUROU,Présents,Fille,3029
2016,BEPC,,ABIDJAN 1,Présents,Fille,5619
2016,BEPC,,ABIDJAN 2,Présents,Fille,8866
